Crop,Nitrogen (N),Phosphorus (P),Potassium (K),pH,Rainfall (mm),Temperature (°C),Humidity (%),Yield (t/ha)
Dhaan,71.25,71.55,87.67,8.07,2350.97,22.33,75.5,3.81
Dhaan,43.72,33.92,84.99,6.68,1253.63,24.84,80.11,3.69
Dhaan,40.91,76.41,89.81,5.86,1596.79,29.66,86.19,3.99
Dhaan,158.65,62.26,100.71,7.42,1805.87,23.21,71.93,4.23
Dhaan,117.29,78.06,81.85,7.95,2165.21,34.65,77.57,3.02
Dhaan,51.17,36.3,30.1,5.61,1282.48,24.96,75.79,3.24
Dhaan,69.33,38.69,113.67,7.09,2344.23,26.74,77.4,3.33
Dhaan,178.53,64.8,75.69,7.24,2512.43,24.12,77.59,3.36
Dhaan,44.49,42.08,46.77,5.34,2717.13,32.09,74.58,4.17
Dhaan,168.04,52.12,46.49,5.49,1766.42,30.52,77.91,3.25
Dhaan,165.7,47.96,41.93,8.49,2210.46,25.42,81.69,3.35
Dhaan,150.89,49.55,26.35,6.03,1284.81,23.43,82.55,3.49
Dhaan,160.51,20.8,92.07,7.23,2993.02,28.88,89.42,3.23
Dhaan,103.52,86.77,107.59,5.55,2353.73,23.45,78.7,3.44
Dhaan,161.87,40.89,83.89,6.94,2101.06,24.32,88.25,3.84
Dhaan,40.08,42.69,21.95,8.22,2170.88,32.12,80.61,3.99
Dhaan,48.11,81.46,114.69,4.84,2781.7,32.81,76.15,3.37
Dhaan,106.54,58.49,46.51,7.99,2569.08,31.96,72.57,3.51
Dhaan,142.19,34.08,51.17,8.48,1961.65,24.75,80.79,3.28
Dhaan,87.33,61.18,43.01,5.38,2131.64,23.57,74.49,3.2
Dhaan,166.76,80.17,27.09,5.45,1327.79,30.2,74.58,3.38
Dhaan,106.17,74.92,100.75,5.26,1438.16,34.16,81.42,3.29
Dhaan,105.38,71.04,87.34,8.44,1374.48,27.6,78.47,3.79
Dhaan,66.63,51.4,62.19,5.61,1810.74,33.2,74.97,3.71
Dhaan,160.59,58.52,25.06,8.5,1649.65,34.0,78.86,3.97
Dhaan,107.99,34.96,60.1,4.73,2867.46,33.03,73.33,2.71
Dhaan,149.77,51.85,62.3,8.33,1882.15,34.81,75.3,3.95
Dhaan,175.62,60.54,74.22,7.49,2493.13,24.01,75.93,3.49
Dhaan,159.38,31.02,116.08,4.82,1302.9,29.59,80.06,3.68
Dhaan,164.64,37.24,79.45,6.98,2415.38,25.06,72.4,3.93
Dhaan,170.86,34.3,91.62,5.45,1954.6,29.59,80.46,3.09
Dhaan,50.16,52.08,119.85,8.48,1739.99,26.11,85.04,3.82
Dhaan,170.66,81.66,107.93,5.98,1331.87,24.77,75.3,3.86
Dhaan,131.56,20.55,101.71,5.7,2466.37,29.95,89.74,4.05
Dhaan,56.16,27.49,75.32,5.59,2394.1,34.21,72.69,3.06
Dhaan,108.39,83.37,104.61,4.87,1566.48,30.25,75.28,3.16
Dhaan,147.96,64.6,46.2,7.46,1962.44,25.6,70.07,3.15
Dhaan,166.55,58.19,103.46,6.83,1217.41,22.98,87.66,3.38
Dhaan,165.86,75.73,106.07,8.1,1466.57,23.66,76.17,3.57
Dhaan,96.89,63.45,35.46,8.22,1385.03,32.14,87.68,3.76
Dhaan,163.4,21.74,93.66,5.83,2756.29,34.69,86.22,4.07
Dhaan,150.23,27.57,107.22,7.93,2755.32,32.54,75.34,3.23
Dhaan,82.73,75.67,42.76,4.59,1600.38,32.62,79.21,3.61
Dhaan,129.81,47.98,118.11,6.64,2755.84,34.57,75.58,3.79
Dhaan,65.0,87.38,46.55,4.93,2890.63,23.5,89.41,2.98
Dhaan,93.93,60.36,45.47,7.34,1764.62,29.88,80.23,3.73
Dhaan,140.72,71.94,87.06,5.96,1203.04,34.03,80.77,3.97
Dhaan,140.77,41.02,50.93,6.13,1794.36,26.08,86.96,3.72
Dhaan,98.86,85.83,87.73,8.11,1924.32,25.84,72.55,3.28
Dhaan,100.18,60.6,85.47,6.36,2186.29,22.01,75.74,3.3
Dhaan,166.17,75.72,36.97,4.84,1995.89,24.78,79.46,3.01
Dhaan,134.19,35.72,39.91,4.6,1803.34,32.64,85.02,3.45
Dhaan,50.2,49.01,82.98,5.28,1640.72,28.18,86.99,3.36
Dhaan,145.14,73.9,30.66,6.2,1639.17,30.53,70.11,3.11
Dhaan,47.03,37.44,104.83,6.33,1516.6,34.45,80.36,3.66
Dhaan,164.8,62.89,91.93,6.52,2978.21,29.74,89.0,3.01
Dhaan,144.11,53.23,45.92,5.49,2695.02,29.12,87.94,3.11
Dhaan,50.85,40.0,47.17,5.78,2138.34,30.15,75.49,3.05
Dhaan,137.15,69.45,26.42,6.13,2172.27,23.8,74.63,3.15
Dhaan,121.77,68.69,105.67,7.56,1572.3,27.46,88.1,3.4
Dhaan,145.49,79.74,115.34,6.18,1884.69,22.08,77.04,3.49
Dhaan,101.02,22.03,53.61,7.22,2285.85,24.87,74.39,3.06
Dhaan,57.87,63.56,22.7,6.08,1927.77,24.15,79.35,3.42
Dhaan,47.04,46.54,41.17,5.81,2356.95,23.76,79.23,3.47
Dhaan,156.47,37.66,28.19,4.58,2570.21,26.93,85.04,2.04
Dhaan,131.25,72.8,114.96,5.3,1829.93,30.45,85.62,3.13
Dhaan,133.72,59.48,41.8,7.3,1236.68,23.98,72.52,3.52
Dhaan,154.7,87.53,30.81,4.6,2293.05,31.72,72.29,3.29
Dhaan,95.53,70.05,27.6,7.26,1761.52,30.81,89.16,3.39
Dhaan,56.95,88.87,98.26,5.89,2590.47,33.05,82.01,3.38
Dhaan,87.77,79.47,102.23,4.92,1971.08,26.82,80.12,3.98
Dhaan,142.73,87.58,47.01,7.73,2691.67,31.2,78.71,3.38
Dhaan,142.34,38.79,105.17,7.82,2168.71,28.29,78.71,4.12
Dhaan,93.06,22.01,105.1,5.23,1638.95,28.04,82.21,3.87
Dhaan,163.24,69.08,47.63,4.54,1581.82,32.37,76.81,3.64
Dhaan,136.69,65.21,69.08,7.67,2496.13,28.35,85.16,3.45
Dhaan,82.87,60.71,67.33,6.62,1367.5,24.88,83.84,2.98
Dhaan,75.2,28.45,39.26,4.98,1795.42,31.14,75.42,3.76
Dhaan,70.29,53.89,92.46,8.41,2164.56,31.91,73.7,3.22
Dhaan,65.12,20.99,73.41,5.6,1380.95,24.52,74.55,3.46
Dhaan,57.68,80.79,69.09,7.99,2953.73,29.19,83.95,3.15
Dhaan,171.75,53.44,102.21,6.1,1992.84,24.4,71.03,3.32
Dhaan,60.89,59.4,50.38,8.48,1333.35,30.18,71.07,3.94
Dhaan,113.16,51.54,64.27,7.94,2291.37,32.28,74.51,3.9
Dhaan,125.35,71.81,114.76,5.33,2982.06,25.97,82.42,3.62
Dhaan,40.37,51.54,79.38,5.67,1482.7,24.26,71.5,4.0
Dhaan,103.56,68.12,112.39,7.65,1616.66,31.19,84.06,3.14
Dhaan,130.67,83.59,102.66,4.79,2880.6,27.53,80.89,3.14
Dhaan,119.69,40.2,32.44,7.25,1498.66,26.0,84.98,3.24
Dhaan,45.58,50.24,52.23,5.5,2100.85,28.42,71.61,2.7
Dhaan,120.53,86.56,119.96,7.19,1364.39,34.5,86.72,3.49
Dhaan,168.25,32.7,78.53,7.04,2561.28,28.12,83.03,3.6
Dhaan,86.66,66.91,105.77,5.82,2085.11,23.19,76.96,3.4
Dhaan,103.68,42.02,52.33,8.38,2901.35,32.58,81.0,3.23
Dhaan,132.07,57.98,61.32,5.25,1927.52,28.69,89.76,3.12
Dhaan,116.89,84.94,63.81,7.29,2325.74,31.88,74.07,3.95
Dhaan,73.5,31.09,75.08,6.71,1418.57,34.65,82.18,4.41
Dhaan,156.5,54.89,91.66,6.54,2843.27,28.0,72.35,4.1
Dhaan,74.12,58.59,58.36,8.19,1692.16,32.85,89.6,2.78
Dhaan,98.09,85.4,70.77,7.78,2755.25,25.59,85.8,3.46
