Crop Type,Temperature (°C),Humidity (%),Rainfall (mm),Soil pH,Soil Moisture (%),N (%),P (%),K (%),Yield (q/ha)
Maize,20.153045402903846,54.97979558832385,131.16277165432427,5.027972757971166,43.94769609276389,0.2062450759029929,0.06965964465320185,0.30811282842220084,43.38445403267794
Wheat,29.33436308079483,55.496846313430545,140.3921256071892,7.183313881076835,40.086144398479476,0.1714328570996138,0.13596341039527968,0.1404752873835719,39.32232585316978
Maize,25.010398839152593,59.8659057728799,133.35900827409398,6.477200856768215,25.55485305586068,0.26639976689880907,0.17784219315630298,0.14456848726732124,31.134663149446805
Maize,25.393774484000623,61.33944526683747,151.13401074161902,5.697229450158879,24.629504267148214,0.27849200876169233,0.17898234237174812,0.21832109365951174,20.364178868781973
Wheat,26.83963769398141,79.98910110371347,17.054666981561752,6.934391051995244,26.172862611323175,0.2730182346851572,0.15589510501272635,0.28886446746729444,34.94799494116692
Wheat,26.15851164389914,57.46934995246665,104.92364076376366,5.568549564642,26.87393925308378,0.2943618925094367,0.15932054065218018,0.09189090243488539,47.32584871964363
Maize,29.43891604560757,63.411591422068966,155.48529125468116,6.196836474202054,45.515083706545354,0.08605422073089136,0.1292683912241121,0.2672004915083708,24.115710706466718
Rice,29.442515971251673,71.24879935255261,153.45365566140745,6.399355680205615,49.63925001098314,0.2647595556720168,0.13354689442653198,0.2550236922931662,52.453748186041636
Maize,28.671989335550037,58.886297372008464,200.30946270535156,5.486339417198202,41.19966091705675,0.24538987806860052,0.06138409302568288,0.14249962589650683,20.358272646675033
Maize,26.364035974460112,81.82824066461664,167.20224131970605,7.152474013361311,53.160709301819644,0.13031277006808026,0.11101747014740818,0.2639653135751642,31.958387041763896
Maize,28.009492946823997,69.37268021170371,248.11199592176138,6.646022193153795,59.650529069345325,0.29039042054525604,0.11212420542181822,0.3338494616380623,20.52552766815543
Maize,26.771683423829817,54.70223396104858,78.12508686607481,6.227189096124354,52.80050516477424,0.112599144210588,0.19335965370683844,0.0926321781423775,40.490238826645
Wheat,25.733670416719335,75.7029599894914,96.19624711989556,5.397308115985662,47.79529494703837,0.22950098396945984,0.10897389801972632,0.16630605492885686,46.497075349742076
Maize,21.2850035323391,66.38238650723929,102.12331644827111,5.118488055395657,41.299707977485866,0.12947584769950074,0.12789482318444123,0.1983077134999159,39.693554707559244
Rice,28.11204176736003,66.72279456286235,121.79507368485964,5.704131631546163,37.95412286698833,0.1749037427302964,0.1253202238846564,0.32280029690966616,48.500922066733544
Wheat,28.206394757439554,64.0543974193793,210.63953530749026,6.6570121390094865,23.375695221781694,0.23821517732780517,0.14188187472709235,0.33981059058447227,46.74474436443636
Rice,26.259396701015728,64.85059744106245,66.59010255021036,5.5925288562644555,35.97474993578764,0.20393142124727026,0.15971725301310336,0.1999111165540097,56.28994397815808
Rice,28.20426843771268,78.26781405331204,196.24004968850306,6.187023685090111,56.40538547128537,0.17405040289218457,0.07600670018733954,0.2825076712783916,51.21424326601007
Rice,26.51484771857788,45.14907396656578,107.27444394057842,6.601483788807635,52.32090519626212,0.15179445480503717,0.12459590705574972,0.2235484764164104,58.759898791126986
Rice,22.066843598767456,56.71814056552411,154.44529207888203,5.237476172222221,28.64205460046749,0.26472512425593386,0.17214683317056487,0.22520139238017162,40.37023138181122
Wheat,22.739611273211338,43.775168190194464,161.80972797431346,6.507655635454921,38.66431138788863,0.111639157069259,0.11409835421400183,0.15508686906791624,32.859217552015046
Wheat,22.145891197083742,77.66231103737255,99.48367292534427,5.202115952962099,52.66892810234178,0.174622632836556,0.08455320741977168,0.13857818638324745,44.84587076340526
Rice,23.772590832279757,53.61509273601497,133.02764924939322,7.123285432679392,22.6953821914209,0.2788266657905312,0.14475345205700785,0.1577614433994911,47.32484826148459
Rice,20.389631323102336,84.87152049094422,109.12748191544728,6.074467086142867,35.495703426746374,0.2660869011011929,0.17180278332785967,0.23020856195941142,57.94027351986249
Wheat,26.18253884337893,66.32892333296469,26.591868684788665,5.33148743696173,54.073649474957904,0.16820718774407026,0.05010244686838261,0.08787190022596403,37.702052056460595
Wheat,23.365542148887265,80.03748857430605,114.91969331603838,5.753243999273803,36.15591456680495,0.2478838399922878,0.16428647734515633,0.32495721497622954,47.09611557598523
Wheat,26.557226353807422,88.94657178079805,33.37441421285252,5.909516188449575,23.104585789257634,0.261095382755949,0.1714636692738834,0.12219660157843958,49.048306119932874
Maize,23.85396620965565,81.98944297282853,107.20499177927717,6.668007024368382,41.70137474129006,0.2755552332807985,0.11384366841417709,0.13942394275527437,42.089118209254764
Maize,26.816136689727898,83.34968800057618,152.30041595962766,6.635532329368541,54.46969979673182,0.19979126919083012,0.1973289050909548,0.2199345676408645,26.765499867339916
Maize,23.4062456946424,60.399224768242235,149.05957584244018,6.346269111742128,43.61142171812639,0.12498139493203658,0.16587333451316946,0.2717309869110654,24.854071726152057
Rice,22.606945282359032,67.58612976296699,169.0291069619969,5.2330475676286845,29.05116432856927,0.13616799683086495,0.16378601038330654,0.10584684478098727,54.23304680862205
Maize,24.960374542934062,52.69442820216521,32.86276190911031,5.333452617492882,35.36958480549525,0.14505282828915292,0.15965417190593148,0.16577756833773377,20.183353770904507
Rice,26.928903586919393,49.80565498467264,166.50957892730509,5.206265225420225,38.004934447277286,0.2106365457781154,0.06409729651492384,0.3415421435050764,40.774281785895454
Rice,23.483366044531973,65.2753939553017,84.9155336071473,6.269780123232611,43.17065415282107,0.08721811730829386,0.07475694183248173,0.15083260103085533,56.59871918869
Maize,29.366481518557073,69.75244898502103,105.77102707290666,6.929704571325089,50.37404103010452,0.219929343131593,0.11423842103430801,0.16452353916704965,33.01123510413215
Rice,20.391863266756463,56.96356229480955,215.9167009414494,5.954361126960498,23.954944705625415,0.16015793245421103,0.08224069599351454,0.305854592466869,69.8374596710578
Maize,24.179460317155787,68.47217588817502,12.16729699109206,5.353865982707042,55.586081320702654,0.14495319654772126,0.10643855557344647,0.09355789655642292,25.046045884093953
Maize,29.675805515202477,84.37302412567516,151.21903200174532,6.227693115327727,20.492388120643025,0.2734892455601878,0.18215425758766732,0.2054455555784221,26.452598229011713
Wheat,25.479718832480874,67.8360792391683,153.6913552240258,6.785854877104562,34.80209338697021,0.18120052702777575,0.1718923027006831,0.18249652640195096,32.270812846525736
Maize,24.234709423081185,76.04065481552533,105.19834632245488,6.631766535328446,21.096812398906305,0.10091167001719241,0.14080638055679714,0.16547842517533579,42.938575241343614
Wheat,25.68520283749958,80.26574836789526,66.88668570600069,6.939191715285047,35.71896901381165,0.2618842889657743,0.17729926308017657,0.1571388903920864,45.556224889169016
Maize,25.759245752580846,89.43643909777214,66.32176918277226,5.611384613947509,41.03250395493295,0.09048107663603146,0.1654035822427599,0.10467100831231048,40.558477786421186
Maize,27.316477552996403,70.15987010884898,222.0903207185806,5.426698507989105,40.46725546326047,0.23988482931700322,0.10863758909454249,0.16500297392494517,42.56909469911272
Wheat,21.276897294224657,80.3425074481293,116.08584970788581,6.935596269072265,26.625133881130616,0.2502593687895463,0.07217042432799123,0.09162414873323052,40.49799973451677
Wheat,22.500164492161048,88.13246592774374,89.41344711740126,6.4466326881116505,45.82962040382449,0.1575725733043488,0.12227216640149427,0.2908602431839975,39.02386382901447
Maize,25.805440123439098,87.22048627886367,117.70661771953672,5.684043646016619,21.79113802018673,0.26145332838111307,0.15779662120456803,0.18752150436866313,28.259786841640413
Rice,28.671166072097222,47.054092438885675,170.65369635024672,6.633165711259521,50.47627280529662,0.19344506928841976,0.10982713579673489,0.1998540347263761,57.67643843043567
Wheat,25.618666921437736,60.319615413676104,44.98157637874041,6.793260445856809,57.86577735974185,0.1819246037200153,0.14668350556542356,0.3212705383415355,39.08556793579645
Rice,22.3859685979034,56.19950305533998,117.86412045129705,6.352952128750491,33.590753086044714,0.08998872192311236,0.05509238820656698,0.25767484564252957,53.54696759816726
Rice,26.79844779900246,44.346250747517466,151.09224906649285,6.513345041735813,40.68957526857328,0.14380642260275928,0.15968075781942456,0.08217595790237234,68.10783591193416
Rice,27.399087604473745,71.66203874554803,237.6600051643441,5.825571789773866,35.15641112235258,0.28482219359476596,0.17003417918288993,0.3346572021995469,69.5209454283739
Wheat,22.382361524039794,76.79523065980013,70.60666769810062,6.185130468154686,20.2684156121624,0.16620127192237,0.1530940569248866,0.14402900581398204,45.929687786591614
Rice,23.777288861762948,82.40640477334418,96.22017949989893,6.153150175597557,35.434980115804635,0.200274114522489,0.1947621740042185,0.10905582988516188,62.70274270740785
